,unique_id,ds,y,y_pred
365,SKU_03,2023-09-22,140.0,114.002716
366,SKU_03,2023-09-23,27.0,18.679295
367,SKU_03,2023-09-24,35.0,16.959879
368,SKU_03,2023-09-25,100.0,114.80628
369,SKU_03,2023-09-26,139.0,112.64711
370,SKU_03,2023-09-27,142.0,115.078705
371,SKU_03,2023-09-28,79.0,115.221985
372,SKU_03,2023-09-29,123.0,123.26241
373,SKU_03,2023-09-30,17.0,19.520235
374,SKU_03,2023-10-01,18.0,19.680199
375,SKU_03,2023-10-02,130.0,123.70462
376,SKU_03,2023-10-03,118.0,131.80891
377,SKU_03,2023-10-04,106.0,130.22736
378,SKU_03,2023-10-05,125.0,118.97361
379,SKU_03,2023-10-06,113.0,115.17956
380,SKU_03,2023-10-07,16.0,15.907959
381,SKU_03,2023-10-08,15.0,17.615303
382,SKU_03,2023-10-09,108.0,127.07164
383,SKU_03,2023-10-10,52.0,131.98071
384,SKU_03,2023-10-11,104.0,95.45063
385,SKU_03,2023-10-12,8.0,29.511244
386,SKU_03,2023-10-13,63.0,110.36225
387,SKU_03,2023-10-14,15.0,18.46927
388,SKU_03,2023-10-15,7.0,26.576235
389,SKU_03,2023-10-16,142.0,126.968254
390,SKU_03,2023-10-17,140.0,128.73686
391,SKU_03,2023-10-18,131.0,128.34787
392,SKU_03,2023-10-19,150.0,119.824005
393,SKU_03,2023-10-20,87.0,119.27516
394,SKU_03,2023-10-21,15.0,16.198292
395,SKU_03,2023-10-22,24.0,16.592825
396,SKU_03,2023-10-23,156.0,127.49117
397,SKU_03,2023-10-24,107.0,132.34013
398,SKU_03,2023-10-25,109.0,126.28266
399,SKU_03,2023-10-26,115.0,118.02549
400,SKU_03,2023-10-27,86.0,118.54777
401,SKU_03,2023-10-28,20.0,16.90333
402,SKU_03,2023-10-29,22.0,16.192705
403,SKU_03,2023-10-30,119.0,118.8342
404,SKU_03,2023-10-31,101.0,133.09036
405,SKU_03,2023-11-01,152.0,92.33382
406,SKU_03,2023-11-02,24.0,25.754446
407,SKU_03,2023-11-03,112.0,105.89516
408,SKU_03,2023-11-04,18.0,16.818493
409,SKU_03,2023-11-05,8.0,28.37759
410,SKU_03,2023-11-06,125.0,129.49635
411,SKU_03,2023-11-07,174.0,136.67093
412,SKU_03,2023-11-08,115.0,135.12117
413,SKU_03,2023-11-09,146.0,118.83824
414,SKU_03,2023-11-10,178.0,118.72336
415,SKU_03,2023-11-11,13.0,18.272871
416,SKU_03,2023-11-12,14.0,17.75784
417,SKU_03,2023-11-13,145.0,111.10669
418,SKU_03,2023-11-14,112.0,74.34981
419,SKU_03,2023-11-15,36.0,28.580248
420,SKU_03,2023-11-16,105.0,104.52302
421,SKU_03,2023-11-17,64.0,105.085655
422,SKU_03,2023-11-18,33.0,19.847715
423,SKU_03,2023-11-19,6.0,18.208548
424,SKU_03,2023-11-20,66.0,104.631615
425,SKU_03,2023-11-21,80.0,114.08189
426,SKU_03,2023-11-22,124.0,111.289604
427,SKU_03,2023-11-23,135.0,109.4298
428,SKU_03,2023-11-24,112.0,104.70138
429,SKU_03,2023-11-25,38.0,17.927786
430,SKU_03,2023-11-26,18.0,24.564821
431,SKU_03,2023-11-27,140.0,111.66588
432,SKU_03,2023-11-28,134.0,115.44016
433,SKU_03,2023-11-29,110.0,114.18452
434,SKU_03,2023-11-30,134.0,110.364265
435,SKU_03,2023-12-01,94.0,82.780914
436,SKU_03,2023-12-02,25.0,20.925167
437,SKU_03,2023-12-03,28.0,36.202477
438,SKU_03,2023-12-04,136.0,122.08127
439,SKU_03,2023-12-05,106.0,117.64009
440,SKU_03,2023-12-06,133.0,118.0208
441,SKU_03,2023-12-07,115.0,105.19005
442,SKU_03,2023-12-08,79.0,88.04402
443,SKU_03,2023-12-09,23.0,21.82031
444,SKU_03,2023-12-10,11.0,17.481707
445,SKU_03,2023-12-11,179.0,120.43201
446,SKU_03,2023-12-12,125.0,117.32142
447,SKU_03,2023-12-13,103.0,123.04525
448,SKU_03,2023-12-14,117.0,85.097626
449,SKU_03,2023-12-15,28.0,107.4857
450,SKU_03,2023-12-16,0.0,16.590456
451,SKU_03,2023-12-17,0.0,12.800371
452,SKU_03,2023-12-18,0.0,111.44146
453,SKU_03,2023-12-19,0.0,102.898026
454,SKU_03,2023-12-20,0.0,87.29481
455,SKU_03,2023-12-21,3.0,97.704025
456,SKU_03,2023-12-22,19.0,64.48314
457,SKU_03,2023-12-23,44.0,14.009169
458,SKU_03,2023-12-24,88.0,5.739894
459,SKU_03,2023-12-25,4.0,15.005256
460,SKU_03,2023-12-26,90.0,47.89293
461,SKU_03,2023-12-27,31.0,85.23508
462,SKU_03,2023-12-28,19.0,83.88434
463,SKU_03,2023-12-29,29.0,32.50532
464,SKU_03,2023-12-30,8.0,13.3865795
465,SKU_03,2023-12-31,13.0,5.428525
466,SKU_03,2024-01-01,2.0,31.363314
467,SKU_03,2024-01-02,110.0,116.31092
468,SKU_03,2024-01-03,99.0,108.86652
469,SKU_03,2024-01-04,85.0,121.48638
470,SKU_03,2024-01-05,115.0,116.9674
471,SKU_03,2024-01-06,10.0,23.553764
472,SKU_03,2024-01-07,0.0,23.832361
473,SKU_03,2024-01-08,226.0,146.5838
474,SKU_03,2024-01-09,134.0,146.46849
475,SKU_03,2024-01-10,127.0,146.41327
476,SKU_03,2024-01-11,162.0,124.71279
477,SKU_03,2024-01-12,106.0,122.57159
478,SKU_03,2024-01-13,23.0,23.553764
479,SKU_03,2024-01-14,32.0,26.097345
480,SKU_03,2024-01-15,157.0,144.16066
481,SKU_03,2024-01-16,128.0,132.33897
482,SKU_03,2024-01-17,140.0,128.40802
483,SKU_03,2024-01-18,130.0,121.759735
484,SKU_03,2024-01-19,87.0,120.935455
485,SKU_03,2024-01-20,24.0,31.124083
486,SKU_03,2024-01-21,7.0,27.084278
487,SKU_03,2024-01-22,99.0,120.74972
488,SKU_03,2024-01-23,127.0,120.435196
489,SKU_03,2024-01-24,120.0,115.43282
490,SKU_03,2024-01-25,104.0,117.639534
491,SKU_03,2024-01-26,109.0,122.24391
492,SKU_03,2024-01-27,50.0,53.450905
493,SKU_03,2024-01-28,19.0,42.457024
494,SKU_03,2024-01-29,111.0,113.662834
495,SKU_03,2024-01-30,126.0,114.29275
496,SKU_03,2024-01-31,106.0,119.13066
497,SKU_03,2024-02-01,146.0,138.90459
498,SKU_03,2024-02-02,133.0,119.690765
499,SKU_03,2024-02-03,21.0,25.212814
500,SKU_03,2024-02-04,16.0,29.771187
501,SKU_03,2024-02-05,134.0,136.98648
502,SKU_03,2024-02-06,158.0,138.0872
503,SKU_03,2024-02-07,71.0,139.83981
504,SKU_03,2024-02-08,109.0,120.36374
505,SKU_03,2024-02-09,67.0,111.86983
506,SKU_03,2024-02-10,10.0,13.81237
507,SKU_03,2024-02-11,9.0,17.36558
508,SKU_03,2024-02-12,35.0,140.6282
509,SKU_03,2024-02-13,19.0,143.50792
510,SKU_03,2024-02-14,62.0,145.20659
511,SKU_03,2024-02-15,120.0,122.20034
512,SKU_03,2024-02-16,104.0,109.29625
513,SKU_03,2024-02-17,45.0,15.571742
514,SKU_03,2024-02-18,17.0,16.629223
515,SKU_03,2024-02-19,136.0,82.03859
516,SKU_03,2024-02-20,179.0,76.388176
517,SKU_03,2024-02-21,138.0,92.624466
518,SKU_03,2024-02-22,127.0,94.20612
519,SKU_03,2024-02-23,85.0,91.9801
520,SKU_03,2024-02-24,16.0,16.176071
521,SKU_03,2024-02-25,22.0,22.988554
522,SKU_03,2024-02-26,138.0,112.36197
523,SKU_03,2024-02-27,138.0,117.53132
524,SKU_03,2024-02-28,103.0,113.10152
525,SKU_03,2024-02-29,124.0,107.3381
526,SKU_03,2024-03-01,183.0,123.5983
527,SKU_03,2024-03-02,24.0,15.656848
528,SKU_03,2024-03-03,15.0,21.23714
529,SKU_03,2024-03-04,129.0,128.60512
530,SKU_03,2024-03-05,162.0,127.53673
531,SKU_03,2024-03-06,96.0,130.27943
532,SKU_03,2024-03-07,105.0,113.02871
533,SKU_03,2024-03-08,103.0,109.56419
534,SKU_03,2024-03-09,14.0,14.361503
535,SKU_03,2024-03-10,13.0,17.665012
536,SKU_03,2024-03-11,96.0,130.99403
537,SKU_03,2024-03-12,88.0,129.84007
538,SKU_03,2024-03-13,141.0,132.51852
539,SKU_03,2024-03-14,106.0,116.20949
540,SKU_03,2024-03-15,77.0,113.384224
541,SKU_03,2024-03-16,17.0,14.974584
542,SKU_03,2024-03-17,12.0,16.597872
543,SKU_03,2024-03-18,94.0,119.51274
544,SKU_03,2024-03-19,120.0,121.4144
545,SKU_03,2024-03-20,125.0,113.0084
546,SKU_03,2024-03-21,81.0,112.35025
547,SKU_03,2024-03-22,111.0,110.43412
548,SKU_03,2024-03-23,11.0,16.685743
549,SKU_03,2024-03-24,12.0,16.214458
550,SKU_03,2024-03-25,140.0,121.015625
551,SKU_03,2024-03-26,88.0,108.030045
552,SKU_03,2024-03-27,105.0,121.15602
553,SKU_03,2024-03-28,93.0,105.10114
554,SKU_03,2024-03-29,5.0,31.319567
555,SKU_03,2024-03-30,12.0,14.0799055
556,SKU_03,2024-03-31,8.0,16.370205
557,SKU_03,2024-04-01,140.0,126.67488
558,SKU_03,2024-04-02,166.0,126.805405
559,SKU_03,2024-04-03,101.0,132.73396
560,SKU_03,2024-04-04,151.0,118.3372
561,SKU_03,2024-04-05,99.0,98.55006
562,SKU_03,2024-04-06,19.0,14.726568
563,SKU_03,2024-04-07,12.0,18.772131
564,SKU_03,2024-04-08,114.0,137.208
565,SKU_03,2024-04-09,116.0,130.75157
566,SKU_03,2024-04-10,95.0,132.27191
567,SKU_03,2024-04-11,140.0,116.191055
568,SKU_03,2024-04-12,104.0,114.91735
569,SKU_03,2024-04-13,11.0,14.244354
570,SKU_03,2024-04-14,14.0,17.331085
571,SKU_03,2024-04-15,143.0,133.72261
572,SKU_03,2024-04-16,101.0,127.169685
573,SKU_03,2024-04-17,109.0,115.33339
574,SKU_03,2024-04-18,123.0,115.14784
575,SKU_03,2024-04-19,104.0,92.25773
576,SKU_03,2024-04-20,9.0,15.629456
577,SKU_03,2024-04-21,8.0,11.272871
578,SKU_03,2024-04-22,143.0,120.02818
579,SKU_03,2024-04-23,103.0,120.66596
